id,temple_code,temple_name,temple_type,sect,registration_type,established_date,has_visung,visung_date,status_date,subdistrict,district,province,postal_code,phone,fax,email,website,village,house_no,moo,soi,road,note,province_id,district_id,subdistrict_id,order_no,created_at,updated_at
27487,5940202001,มะกรูด,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-07-09,ได้รับ,1906-08-07,,มะกรูด,โคกโพธิ์,ปัตตานี,94120,,,,,,,6,,,,,,,,,
27488,4330320003,มะกรูด,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-17,ได้รับ,2531-11-22,,คำเนียม,กันทรารมย์,ศรีสะเกษ,33130,,,,,,,3,,,,,,,,,
27489,2191009001,มะกรูด,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-01-03,ได้รับ,2397-04-10,,ม่วงงาม,เสาไห้,สระบุรี,18160,,,,,,,1,,,,,,,,,
27490,1101905003,มะกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-06-19,ได้รับ,1906-09-10,,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,10170,,,,,,,8,,,,,,,,,
27491,4301505005,มะกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-16,ได้รับ,2535-04-29,,ท่าหลวง,พิมาย,นครราชสีมา,30110,,,,,,,5,,,,,,,,,
27492,3520303005,มะกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-09-11,ไม่ได้รับ,-,,ไหล่หิน,เกาะคา,ลำปาง,52130,,,,,,,4,,,,,,,,,
27493,3510606005,มะกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-05-18,ได้รับ,1906-11-20,,มะกอก,ป่าซาง,ลำพูน,51120,,,,,,,4,,,,,,,,,
27494,4270302001,มะกอก,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-04,ได้รับ,2565-02-25,//,ทัพเสด็จ,ตาพระยา,สระแก้ว,27180,,,,,,,1,,,,,,,,,
27495,2250706002,มะกอกแก้ว,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-04-09,ได้รับ,2519-03-23,//,คำโตนด,ประจันตคาม,ปราจีนบุรี,25130,,,,,,,7,,,,,,,,,
27496,2660509004,มะกอกงอ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-10-10,ไม่ได้รับ,-,,วังตะกู,บางมูลนาก,พิจิตร,66210,,,,,,,5,,,,,,,,,
27497,2250102002,มะกอกสีมาราม,วัดราษฎร์,ธรรมยุต,ตั้งวัด,1906-08-08,ได้รับ,1906-10-30,,รอบเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,25000,,,,,,,8,,,,,,,,,
27498,3620113010,มะกอกหวาน,วัดราษฎร์,มหานิกาย,ตั้งวัด,2531-10-27,ได้รับ,2545-02-12,,เทพนคร,เมืองกำแพงเพชร,กำแพงเพชร,62000,,,,,,,7,,,,,,,,,
27499,2160408002,มะกอกหวาน,วัดราษฎร์,มหานิกาย,ตั้งวัด,2560-04-05,ไม่ได้รับ,-,,มะกอกหวาน,ชัยบาดาล,ลพบุรี,15230,,,,,,,2,,,,,,,,,
27500,5930511004,มะกอกเหนือ,วัดราษฎร์,มหานิกาย,ตั้งวัด,1906-03-17,ได้รับ,1906-11-21,,มะกอกเหนือ,ควนขนุน,พัทลุง,93150,,,,,,,7,,,,,,,,,
